Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stock_Return_Pct,Borrow_Fee_Pct,Capital_Invested,Lending_Income,Final_Value
ALKS,2009-11-04,2010-01-29,7.83,10.94,39.7%,91.2%,18188483.83,2903628.58,25533155.5
PCRX,2011-08-08,2011-11-02,8.78,8.18,-6.8%,42.0%,18548718.27,1122386.68,19339991.26
INCY,2011-08-24,2011-11-18,14.82,12.21,-17.6%,62.0%,18593282.63,1654919.39,17590120.31
CORT,2011-11-25,2012-02-17,2.94,3.03,3.1%,57.9%,22723685.84,2578945.57,26606766.32
PLX,2012-02-07,2012-05-03,64.6,67.3,4.2%,98.9%,20182454.35,2697043.49,23528898.62
EBS,2012-02-23,2012-05-18,16.23,13.91,-14.3%,94.1%,12861758.96,2504363.26,13760242.91
AMRN,2012-05-03,2012-07-27,245.6,270.2,10.0%,111.4%,43931569.8,7855569.39,57546053.14
SUPN,2012-07-30,2012-10-24,12.97,11.43,-11.9%,47.0%,40426105.78,3107435.63,40348918.22
EXEL,2012-09-06,2012-11-30,4.94,4.88,-1.2%,73.8%,48127569.23,5216135.86,53752704.12
SUPN,2013-05-28,2013-08-21,6.87,6.71,-2.3%,42.4%,49186406.76,4478543.3,52751385.23
ABBV,2013-08-21,2013-11-15,42.31,48.44,14.5%,57.5%,62984069.89,7326562.77,77160319.66
VNDA,2013-11-08,2014-01-31,6.24,13.23,112.0%,80.4%,101679399.69,6423137.14,132396750.2
ABBV,2013-11-20,2014-02-14,47.95,50.73,5.8%,42.1%,53285148.53,3373762.26,58884335.39
BMRN,2013-11-22,2014-02-14,71.04,75.81,6.7%,55.9%,53285148.53,4350050.45,61835508.17
OMER,2014-03-10,2014-06-04,12.88,11.97,-7.1%,92.0%,111999137.48,10667399.95,114259465.53
MNKD,2014-04-04,2014-06-27,34.35,50.0,45.6%,83.6%,53197573.0,4896475.06,63423238.3
EGRX,2014-04-09,2014-07-03,12.67,14.2,12.1%,57.6%,35541794.18,3159823.28,38742195.08
ABBV,2014-04-28,2014-07-21,50.87,54.0,6.2%,87.1%,26134771.73,4132482.99,31231986.41
EGRX,2014-04-30,2014-07-25,9.86,12.66,28.4%,104.8%,26134771.73,5090036.85,36901651.32
NVS,2014-05-14,2014-08-08,79.96,76.48,-4.4%,40.5%,28632026.56,2087150.65,29617003.61
AKBA,2014-06-13,2014-09-05,27.66,22.5,-18.7%,104.5%,40904757.85,6771154.37,44072480.19
HALO,2014-06-20,2014-09-12,10.17,9.4,-7.6%,95.9%,53848951.26,6720977.37,59381502.82
NKTR,2014-06-24,2014-09-18,192.45,200.4,4.1%,67.2%,53848951.26,5147332.12,61815481.73
EYPT,2014-07-07,2014-09-26,46.9,42.9,-8.5%,52.4%,79418496.81,4482964.18,81050702.72
INCY,2014-09-11,2014-12-05,50.15,75.2,50.0%,116.6%,79418496.81,9554093.89,99202244.13
ABBV,2014-09-26,2014-12-19,59.19,67.71,14.4%,66.9%,53680011.44,4495641.28,61044385.46
ENTA,2014-09-26,2014-12-19,39.47,46.62,18.1%,47.4%,53680011.44,3185261.84,62439865.96
BCRX,2014-09-29,2014-12-24,10.49,11.83,12.8%,47.7%,43054743.35,3263985.81,54397243.97
VRTX,2014-10-06,2014-12-31,105.76,118.8,12.3%,107.8%,42417003.33,7365393.2,52781855.79
NBIX,2014-10-16,2015-01-09,17.35,28.29,63.1%,88.3%,47095951.1,6178438.18,72344860.91
ABBV,2014-10-16,2015-01-09,52.9,65.78,24.3%,104.6%,47095951.1,7317043.36,59578509.91
RMTI,2014-11-03,2015-01-28,962.5,1158.3,20.3%,98.4%,72871569.48,8992755.06,91285141.24
ABBV,2014-11-06,2015-01-30,62.71,60.35,-3.8%,82.9%,72901590.71,7734981.34,75522631.43
VRTX,2014-12-23,2015-03-19,113.75,134.25,18.0%,117.8%,95147966.5,17300179.46,121597321.4
EBS,2014-12-31,2015-03-27,27.23,28.52,4.7%,70.3%,95147966.5,11050177.48,107194694.96
AMGN,2015-01-21,2015-04-17,157.38,163.58,3.9%,84.2%,117118910.35,15491364.83,134244489.46
TBPH,2015-02-05,2015-05-01,17.3,16.55,-4.3%,106.4%,130163487.56,21552754.13,143314731.3
NVS,2015-02-05,2015-05-01,87.63,92.61,5.7%,89.5%,130163487.56,18133817.23,153062987.76
VRTX,2015-04-09,2015-07-02,125.64,131.26,4.5%,108.9%,458621985.12,83872817.92,562509719.37
EXEL,2015-08-18,2015-11-12,5.72,5.42,-5.2%,86.2%,472028723.96,36193538.09,485031959.05
NKTR,2015-08-24,2015-11-18,142.5,225.0,57.9%,96.4%,255625505.48,35620898.33,371220030.3
EBS,2015-09-01,2015-11-25,32.67,38.31,17.3%,43.7%,197683931.58,14988845.15,224520592.42
EGRX,2015-10-01,2015-12-24,73.17,87.62,19.7%,58.2%,181303582.41,19333520.45,234451848.16
CHRS,2015-10-19,2016-01-13,23.74,14.07,-40.7%,63.2%,237401486.85,24544105.41,149254377.24
NBIX,2015-11-18,2016-02-12,56.49,36.04,-36.2%,46.4%,316274538.89,22446362.73,256117352.8
ABBV,2015-11-18,2016-02-12,60.99,52.58,-13.8%,58.6%,316274538.89,28369640.65,326600974.86
EXEL,2016-02-01,2016-04-27,4.55,4.56,0.2%,48.1%,290403040.99,20360970.14,302316731.24
ACAD,2016-02-05,2016-04-29,19.36,32.3,66.8%,62.2%,290403040.99,25497195.29,417577227.97
VNDA,2016-03-03,2016-05-27,8.13,10.61,30.5%,90.9%,199561611.27,29880311.6,253167830.27
OPK,2016-03-29,2016-06-23,11.07,9.75,-11.9%,69.2%,162525125.28,17368928.7,161686097.89
NVS,2016-04-04,2016-06-29,65.17,72.74,11.6%,69.6%,145514378.65,16342618.23,170923761.32
GSK,2016-04-06,2016-07-01,41.68,43.17,3.6%,56.8%,145514378.65,13104810.63,160428792.32
RARE,2016-04-21,2016-07-15,75.41,53.17,-29.5%,61.4%,145514378.65,12869084.26,129671596.37
IONS,2016-05-09,2016-08-03,34.38,37.73,9.7%,114.9%,119976330.53,21883014.15,157500702.25
