Ticker,Entry_Date,Exit_Date,Stock_Return_Pct,Borrow_Fee_Pct,Capital_Invested,Lending_Income,Final_Value
BIO_61,2014-03-01,2014-05-24,148.9%,67.5%,1000000.0,155367.31,2643894.85
BIO_34,2014-03-06,2014-05-29,54.2%,68.9%,1000924.81,158775.95,1702115.0
BIO_48,2014-03-18,2014-06-10,54.0%,104.0%,1005412.57,240538.4,1789374.44
BIO_72,2014-03-20,2014-06-12,108.4%,62.8%,1006733.24,145405.33,2243383.96
BIO_66,2014-04-18,2014-07-11,126.7%,50.8%,1030902.91,120470.06,2457121.25
BIO_60,2014-05-14,2014-08-06,30.0%,109.1%,1056301.1,265311.02,1638502.45
BIO_67,2014-06-26,2014-09-18,91.6%,113.8%,1460046.92,382366.01,3179979.93
BIO_33,2014-09-03,2014-11-26,30.0%,54.5%,1668820.37,209419.91,2378886.39
BIO_28,2014-09-12,2014-12-05,298.6%,64.3%,1675160.93,247934.77,6925870.74
BIO_91,2014-09-22,2014-12-15,77.7%,105.8%,1817093.52,442276.49,3670530.7
BIO_64,2014-10-03,2014-12-26,44.5%,81.9%,1828874.4,344817.93,2987765.21
BIO_78,2014-11-28,2015-02-20,71.1%,52.6%,1961403.67,237380.43,3593914.12
BIO_29,2015-01-03,2015-03-28,30.0%,78.5%,2716888.86,491035.73,4022991.25
BIO_5,2015-02-15,2015-05-10,121.6%,50.4%,2754176.83,319339.87,6422366.45
BIO_43,2015-03-02,2015-05-25,137.4%,78.9%,2909573.81,528106.58,7434505.79
BIO_90,2015-03-03,2015-05-26,30.0%,84.0%,2911167.24,563081.33,4347598.74
BIO_71,2015-05-01,2015-07-24,102.7%,108.1%,3106360.85,772873.26,7069172.56
BIO_1,2015-05-13,2015-08-05,33.0%,83.1%,3471296.77,664206.66,5281926.45
BIO_98,2015-05-23,2015-08-15,72.7%,89.1%,3501395.19,718017.9,6763792.55
BIO_84,2015-05-28,2015-08-20,55.2%,86.1%,4004509.11,793930.38,7009808.95
BIO_63,2015-07-21,2015-10-13,82.2%,97.6%,4194089.5,942482.63,8584360.05
BIO_80,2015-07-30,2015-10-22,38.9%,61.8%,4549257.58,646710.16,6966517.78
BIO_12,2015-12-12,2016-03-05,57.4%,118.1%,5848398.95,1588896.3,10794113.84
BIO_2,2016-01-02,2016-03-26,116.4%,65.3%,5888121.35,884214.59,13626201.29
BIO_52,2016-02-09,2016-05-03,91.6%,69.8%,6000000.18,963603.43,12458417.8
BIO_77,2016-02-20,2016-05-14,60.3%,109.4%,6045004.77,1522130.14,11210884.42
BIO_47,2016-02-22,2016-05-16,83.5%,89.0%,6056811.54,1241219.03,12357786.17
BIO_95,2016-02-28,2016-05-22,30.5%,53.1%,6101097.71,745031.12,8708357.31
BIO_27,2016-03-05,2016-05-28,94.7%,109.8%,6486387.39,1639337.49,14266294.06
BIO_63,2016-04-23,2016-07-16,502.9%,71.1%,7550373.03,1235237.73,46752911.91
BIO_82,2016-05-20,2016-08-12,113.1%,77.4%,9170059.93,1634370.35,21174931.57
BIO_36,2016-06-27,2016-09-19,80.8%,41.2%,10117541.92,959435.41,19253968.13
BIO_39,2016-08-04,2016-10-27,55.4%,60.8%,14059550.77,1966759.1,23811316.37
BIO_51,2016-08-08,2016-10-31,45.1%,88.4%,14081267.74,2865706.58,23301541.84
BIO_14,2016-08-12,2016-11-04,80.1%,52.5%,15153681.07,1830186.96,29127534.8
BIO_22,2016-10-26,2017-01-18,50.8%,82.1%,16609662.88,3139776.23,28180639.19
BIO_45,2016-11-12,2017-02-04,126.7%,68.2%,19340538.35,3036980.95,46880192.83
BIO_86,2016-11-19,2017-02-11,65.4%,44.2%,19392011.33,1971093.34,34044249.41
BIO_18,2016-11-21,2017-02-13,74.6%,71.9%,19411410.97,3209760.26,37107509.43
BIO_30,2016-12-27,2017-03-21,113.9%,71.2%,19898165.72,3259900.96,45813891.49
BIO_65,2016-12-30,2017-03-24,58.0%,111.4%,19950371.12,5113278.39,36627156.1
BIO_67,2017-02-01,2017-04-26,83.8%,99.8%,21516299.71,4943359.69,44485131.23
BIO_67,2017-02-20,2017-05-15,63.0%,86.9%,27064688.26,5411794.79,49518234.2
BIO_13,2017-03-07,2017-05-30,34.5%,94.9%,27399122.79,5982767.4,42834671.62
BIO_20,2017-03-17,2017-06-09,65.9%,58.6%,27693302.57,3736309.48,49691004.77
BIO_79,2017-04-02,2017-06-25,95.3%,95.9%,31555736.01,6962649.7,68597929.8
BIO_28,2017-05-29,2017-08-21,351.6%,53.1%,36612703.81,4471421.68,169815800.95
BIO_83,2017-06-18,2017-09-10,76.2%,56.9%,39712411.23,5203818.9,75175922.51
BIO_88,2017-07-25,2017-10-17,125.4%,115.8%,43204559.03,11510918.09,108905074.08
BIO_57,2017-08-06,2017-10-29,81.8%,104.4%,43507218.44,10457383.74,89573412.29
BIO_16,2017-09-01,2017-11-24,69.5%,84.0%,57301274.63,11072768.37,108219304.31
BIO_13,2017-12-22,2018-03-16,77.8%,95.7%,75807060.0,16702216.65,151468831.93
BIO_12,2018-01-02,2018-03-27,125.9%,59.9%,76025779.5,10473417.89,182211173.08
BIO_30,2018-01-12,2018-04-06,68.7%,50.1%,76349298.96,8797030.06,137608675.98
BIO_53,2018-02-03,2018-04-28,30.0%,67.5%,77291440.18,12012196.57,112491068.8
BIO_18,2018-02-23,2018-05-18,122.5%,108.6%,78433936.87,19598047.38,194085874.64
BIO_50,2018-03-10,2018-06-02,46.6%,103.3%,79640774.52,18936207.19,135711791.89
BIO_79,2018-03-15,2018-06-07,167.4%,118.8%,80155769.26,21906662.3,236223488.35
BIO_67,2018-04-08,2018-07-01,55.6%,106.8%,103339148.26,25408271.39,186158855.91
BIO_61,2018-07-09,2018-10-01,95.4%,114.5%,144698715.3,38132998.46,320807719.57
BIO_37,2018-08-04,2018-10-27,458.6%,92.9%,145879022.4,31201831.58,846053375.43
BIO_69,2018-08-18,2018-11-10,112.1%,60.3%,147034602.9,20401199.88,332269173.01
BIO_62,2018-09-05,2018-11-28,39.2%,84.7%,148957517.82,29045126.56,236426524.86
BIO_27,2018-10-17,2019-01-09,47.4%,71.8%,167967833.4,27753310.74,275293269.8
BIO_37,2018-10-25,2019-01-17,30.0%,108.7%,169000228.34,42286347.32,261986644.17
BIO_44,2018-11-01,2019-01-24,90.0%,72.1%,236967487.1,39333124.35,489499452.33
BIO_83,2018-11-06,2019-01-29,50.8%,97.0%,237912838.94,53096788.6,411882154.05
BIO_70,2018-12-03,2019-02-25,50.9%,67.8%,266318654.49,41538201.94,443375045.93
BIO_62,2018-12-08,2019-03-02,39.3%,66.5%,267532986.47,40958955.92,413596882.29
BIO_19,2019-01-18,2019-04-12,30.0%,109.8%,292169217.48,73811961.63,453631944.35
BIO_96,2019-02-04,2019-04-29,519.8%,93.0%,329716019.04,70539278.19,2114021490.46
BIO_14,2019-02-22,2019-05-17,66.4%,72.6%,334577056.14,55878444.6,612578390.48
BIO_49,2019-03-19,2019-06-11,92.1%,60.6%,365137021.89,50944605.75,752370595.93
BIO_26,2019-03-21,2019-06-13,113.6%,60.1%,365735055.92,50547798.9,831728557.32
BIO_83,2019-03-27,2019-06-19,87.9%,48.7%,367890213.69,41237522.78,732448909.83
BIO_19,2019-03-31,2019-06-23,113.3%,100.0%,369523354.7,85079741.45,873338218.78
BIO_31,2019-04-04,2019-06-27,119.6%,40.8%,371561637.34,34928586.68,850924194.64
BIO_67,2019-04-24,2019-07-17,486.7%,48.3%,390295303.46,43346004.85,2333351967.12
BIO_97,2019-05-20,2019-08-12,65.3%,82.5%,595308130.07,113046718.54,1096846519.71
BIO_100,2019-05-30,2019-08-22,93.8%,108.8%,600297784.58,150352209.31,1313841480.06
BIO_53,2019-06-12,2019-09-04,44.9%,91.8%,642679463.37,135747672.79,1066722058.65
BIO_73,2019-06-27,2019-09-19,48.9%,79.2%,812916400.16,148182815.93,1358870856.37
BIO_30,2019-07-04,2019-09-26,565.3%,75.2%,817838695.33,141522376.51,5582674965.68
BIO_60,2019-07-06,2019-09-28,53.0%,89.1%,819582023.42,168043966.84,1421971239.6
BIO_14,2019-07-25,2019-10-17,513.1%,54.9%,1029502881.56,130013540.04,6441943027.67
BIO_55,2019-10-11,2020-01-03,91.1%,44.3%,1758672837.83,179426823.68,3540775682.98
BIO_37,2019-11-03,2020-01-26,104.7%,94.8%,2292757043.9,500058650.08,5194335618.45
BIO_68,2019-11-14,2020-02-06,66.6%,55.2%,2301655067.96,292163516.79,4126239584.49
BIO_2,2019-12-10,2020-03-03,313.5%,97.4%,2331729917.66,522813436.32,10163455627.87
BIO_2,2020-01-17,2020-04-10,189.3%,78.2%,2556613706.35,459902635.41,7855142466.43
BIO_73,2020-02-03,2020-04-27,30.0%,90.9%,2827924604.57,591378664.26,4267680650.21
BIO_24,2020-02-13,2020-05-07,136.6%,70.3%,3000949368.73,485674697.25,7586729483.9
BIO_14,2020-03-12,2020-06-04,92.7%,119.7%,3794898004.69,1045230553.5,8357317085.83
BIO_56,2020-03-19,2020-06-11,77.6%,101.1%,3816416225.95,888265016.28,7667448615.87
BIO_51,2020-03-19,2020-06-11,79.6%,75.8%,3816416225.95,665750136.5,7519937104.88
BIO_20,2020-03-25,2020-06-17,131.6%,92.3%,3845960523.83,817057211.51,9723345526.92
BIO_33,2020-04-23,2020-07-16,54.8%,104.2%,4493710962.8,1077970083.3,8036054810.34
