Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stock_Return_Pct,Borrow_Fee_Pct,Capital_Invested,Lending_Income,Final_Value
ALKS,2009-11-04,2010-01-28,7.83,11.13,42.1%,91.2%,1000000.0,212276.77,1633732.74
PCRX,2011-08-08,2011-11-01,8.78,9.19,4.7%,42.0%,1063373.27,104008.78,1217038.42
INCY,2011-08-24,2011-11-17,14.82,12.54,-15.4%,62.0%,1066265.79,153957.08,1056182.0
CRIS,2011-11-07,2012-01-31,7200.0,9900.0,37.5%,57.9%,1077850.04,145224.29,1627268.1
CORT,2011-11-25,2012-02-17,2.94,3.03,3.1%,98.9%,1089366.14,247990.07,1370704.13
PLX,2012-02-07,2012-05-02,64.6,70.1,8.5%,94.1%,1157457.75,253738.73,1509741.65
EBS,2012-02-23,2012-05-18,16.23,13.91,-14.3%,111.4%,1167438.24,302792.57,1303351.18
AMRN,2012-05-03,2012-07-27,245.6,270.2,10.0%,47.0%,1207228.23,132007.4,1460155.1
SUPN,2012-07-30,2012-10-23,12.97,12.27,-5.4%,73.8%,1234919.38,212103.95,1380373.88
EXEL,2012-09-06,2012-11-30,4.94,4.88,-1.2%,42.4%,1241422.05,122530.77,1348874.84
SUPN,2013-05-28,2013-08-20,6.87,6.73,-2.0%,57.5%,1260210.11,166736.06,1401265.06
ABBV,2013-08-21,2013-11-14,42.31,48.04,13.5%,80.4%,1274315.61,238678.12,1685572.97
VNDA,2013-11-08,2014-01-31,6.24,13.23,112.0%,42.1%,1312538.35,127237.89,2910071.61
ABBV,2013-11-20,2014-02-13,47.95,50.35,5.0%,55.9%,1338263.25,174234.4,1579480.51
BMRN,2013-11-22,2014-02-14,71.04,75.81,6.7%,92.0%,1342634.47,284242.1,1717028.05
OMER,2014-03-10,2014-06-03,12.88,11.41,-11.4%,83.6%,1536755.75,299166.43,1660531.55
MNKD,2014-04-04,2014-06-27,34.35,50.0,45.6%,57.6%,1540396.22,204318.2,2446525.31
EGRX,2014-04-09,2014-07-03,12.67,14.2,12.1%,87.1%,1546517.94,313837.5,2047109.34
ABBV,2014-04-28,2014-07-18,50.87,54.91,7.9%,104.8%,1580970.16,367526.16,2074054.03
EGRX,2014-04-30,2014-07-24,9.86,12.41,25.9%,40.5%,1585814.2,149639.67,2145578.27
NVS,2014-05-14,2014-08-07,79.96,76.39,-4.5%,104.5%,1628942.12,396282.39,1952393.0
AKBA,2014-06-13,2014-09-05,27.66,22.5,-18.7%,95.9%,1731318.84,381909.81,1790249.44
HALO,2014-06-20,2014-09-12,10.17,9.4,-7.6%,67.2%,1755018.27,271498.13,1893638.84
NKTR,2014-06-24,2014-09-17,192.45,205.8,6.9%,52.4%,1769220.91,216051.47,2108000.93
EYPT,2014-07-07,2014-09-26,46.9,42.9,-8.5%,116.6%,1807417.83,467588.44,2120855.49
INCY,2014-09-11,2014-12-05,50.15,75.2,50.0%,66.9%,1904051.34,296762.98,3151890.61
ABBV,2014-09-26,2014-12-19,59.19,67.71,14.4%,47.4%,1934432.84,211105.03,2423986.41
ENTA,2014-09-26,2014-12-19,39.47,46.62,18.1%,47.7%,1934432.84,212519.13,2497374.82
BCRX,2014-09-29,2014-12-23,10.49,11.07,5.5%,107.8%,1942595.89,487669.36,2537672.83
VRTX,2014-10-06,2014-12-30,105.76,119.15,12.7%,88.3%,1966543.65,404371.86,2619894.49
NBIX,2014-10-16,2015-01-09,17.35,28.29,63.1%,104.6%,2008441.2,489095.18,3763954.09
ABBV,2014-10-16,2015-01-09,52.9,65.78,24.3%,98.4%,2008441.2,460135.32,2957588.18
RMTI,2014-11-03,2015-01-27,962.5,1217.7,26.5%,82.9%,2141131.96,413347.05,3122184.74
ABBV,2014-11-06,2015-01-30,62.71,60.35,-3.8%,117.8%,2166709.62,594639.34,2679807.96
VRTX,2014-12-23,2015-03-18,113.75,129.79,14.1%,70.3%,2564360.97,419714.49,3345678.39
EBS,2014-12-31,2015-03-26,27.23,27.85,2.3%,84.2%,2616613.3,512847.34,3189038.4
AMGN,2015-01-21,2015-04-16,157.38,166.87,6.0%,106.4%,2715610.6,672575.03,3551936.54
TBPH,2015-02-05,2015-05-01,17.3,16.55,-4.3%,89.5%,2766616.75,576512.47,3223189.19
NVS,2015-02-05,2015-05-01,87.63,92.61,5.7%,108.9%,2766616.75,701857.09,3625774.05
VRTX,2015-04-09,2015-07-02,125.64,131.26,4.5%,86.2%,2996807.76,594419.4,3725277.18
EXEL,2015-08-18,2015-11-11,5.72,5.74,0.3%,96.4%,3110596.27,698059.43,3819531.9
NKTR,2015-08-24,2015-11-17,142.5,215.55,51.3%,43.7%,3115600.52,316818.66,5029574.46
EBS,2015-09-01,2015-11-25,32.67,38.31,17.3%,58.2%,3140286.73,425849.4,4108261.27
EGRX,2015-10-01,2015-12-24,73.17,87.62,19.7%,63.2%,3267023.82,474809.29,4387022.53
CHRS,2015-10-19,2016-01-12,23.74,16.7,-29.7%,46.4%,3367066.04,363697.14,2732273.63
NBIX,2015-11-18,2016-02-11,56.49,35.37,-37.4%,58.6%,3503308.62,478271.5,2671792.8
ABBV,2015-11-18,2016-02-11,60.99,52.18,-14.4%,48.1%,3503308.62,392256.32,3389512.26
EXEL,2016-02-01,2016-04-26,4.55,4.68,2.9%,62.2%,3434795.42,497830.83,4030762.97
ACAD,2016-02-05,2016-04-29,19.36,32.3,66.8%,90.9%,3433151.44,717839.0,6445668.82
VNDA,2016-03-03,2016-05-27,8.13,10.61,30.5%,69.2%,3542240.3,570723.7,5193499.57
